,X,Y,Z,U,V,W
1 days 08:53:20,5564.918499666794,-108.93503842491765,4124.087035272708,3.1096956473484014,5.621440233246217,-4.033336918762102
1 days 08:55:00,5841.972419683208,452.738833012309,3696.8179953577237,2.4258343379240266,5.600827632644447,-4.503505390135422
1 days 08:56:40,6049.115080722725,1008.994338129167,3225.18743183266,1.7128666638645604,5.513183769419684,-4.919679908852995
1 days 08:58:20,6183.860218498528,1553.173912353177,2714.850546309278,0.9793288750189855,5.359545015532962,-5.276849520103878
1 days 09:00:00,6244.5888615921585,2078.762670382494,2171.929715431223,0.2340183559495277,5.141743859579508,-5.570707654639801
1 days 09:01:40,6230.570446682907,2579.4688888594924,1602.9394591491991,-0.514115683029061,4.862389623946685,-5.797709666470313
1 days 09:03:20,6141.972415068992,3049.2986595574325,1014.709591530594,-1.2560804084880521,4.5248397792663875,-5.955118998316937
1 days 09:05:00,5979.858788227968,3482.6303549985364,414.3006242118782,-1.9829542305575367,4.133159156064486,-6.0410445551401475
1 days 09:06:40,5746.177808448839,3874.2814900163617,-191.08022880112935,-2.685996875663034,3.692071000749812,-6.054465437025465
1 days 09:08:20,5443.7376208626,4219.572988680094,-794.1687654713761,-3.3567620954565043,3.206896277497064,-5.995244362994896
1 days 09:10:00,5076.172372214048,4514.3844392986075,-1387.7303486294657,-3.987201716124957,2.6834872112148864,-5.864128347884809
1 days 09:11:40,4647.896255169437,4755.204549531306,-1964.6497703617363,-4.569768058419863,2.1281507089653333,-5.662736820621282
1 days 09:13:20,4164.050043596508,4939.171755778772,-2518.015517150978,-5.097504445989452,1.5475692963493721,-5.3935383148638225
1 days 09:15:00,3630.4362834028043,5064.108251897444,-3041.2048322334776,-5.564130385734972,0.9487144659789365,-5.059814769905409
1 days 09:16:40,3053.449575730686,5128.5440331862255,-3527.961136802522,-5.964112881401942,0.3387611157514533,-4.665616997157674
1 days 09:18:20,2439.9968557756056,5131.73312446596,-3972.4698882030893,-6.292729864858917,-0.2750027768876971,-4.215709079015381
1 days 09:20:00,1797.4155956509044,5073.660371795737,-4369.425356498903,-6.546119423416821,-0.885262192612227,-3.715507275983131
1 days 09:21:40,1133.3837235760307,4955.039724797245,-4714.093808986065,-6.721319888953266,-1.4847633635311928,-3.171009777178714
1 days 09:23:20,455.8302152896089,4777.3041862746295,-5002.366855426424,-6.816296849074515,-2.066395492233601,-2.5887243415694337
1 days 09:25:00,-227.1607322984448,4542.586995547171,-5230.809559228152,-6.829960767873001,-2.623272909045172,-1.975588649504532
1 days 09:26:40,-907.4424319644953,4253.695929056086,-5396.69857822171,-6.7621735590486525,-3.1488094868558054,-1.338891331517151
1 days 09:28:20,-1576.9029891806006,3914.078868314694,-5498.053760493171,-6.613745929500884,-3.6367923846071624,-0.686187082013987
1 days 09:30:00,-2227.5575009392514,3527.7840693749804,-5533.660107746617,-6.38642587479468,-4.081447819536799,-0.025214306722232457
1 days 09:31:40,-2851.6427176987636,3099.4120893303766,-5503.082125573661,-6.082878039205827,-4.47750529671679,0.6361920867757702
1 days 09:33:20,-3441.7065051990967,2634.0629069767792,-5406.669008153909,-5.706655155973553,-4.820255005178936,1.2901859551886385
1 days 09:35:00,-3990.6942265020343,2137.2777842537084,-5245.551674592227,-5.262161850940027,-5.105600651337528,1.9289955728728416
1 days 09:36:40,-4492.033317902928,1614.9740903264558,-5021.6305830451665,-4.754608499493839,-5.3301083355848276,2.5450120047122433
1 days 09:38:20,-4939.709571263254,1073.3785349177247,-4737.555752267188,-4.18995925319096,-5.491047996532898,3.130873343396265
1 days 09:40:00,-5328.341007976469,518.9532136352891,-4396.696959983819,-3.5748684542976985,-5.5864302902864225,3.679552167531472
1 days 09:41:40,-5653.242090038061,-41.678222060753754,-4003.1070852396933,-2.9166117621549703,-5.615035313902204,4.184437648491046
1 days 09:43:20,-5910.483100979873,-601.8104403511576,-3561.4751690688663,-2.223004780539893,-5.576434382119712,4.639418830787903
